id,name,description,weight,equipSlot,stackable,icon,worldModel,category,dice,material,basePrice,guard,rarityTier,catchWeight,sizeDice,trophyCm,minFishingLevel,chestTier,chestChance,consumable,nutrition,grillsInto,weaponSkill,defenseSkill,useSkill,armorConstruction,equipmentKind,equipmentLayer,garmentForm,damageType,maxDurability,repairFamily,repairAmount,slashProtection,pierceProtection,bluntProtection,bodyCoverage
iron_sword,Iron Sword,A sturdy iron longsword.,3,main_hand,false,iron_sword.png,weapons/sword.glb,weapon,1d8,metal,10000,,,,,,,,,,,,one_handed_sword,,,,weapon,held,,slash,,,,,,,
worn_iron_sword,Worn Iron Sword,A well-used iron longsword. Merchants won't pay for it.,3,main_hand,false,iron_sword.png,weapons/sword.glb,weapon,1d6,metal,,,,,,,,,,,,,one_handed_sword,,,,weapon,held,,slash,,,,,,,
wooden_shield,Wooden Shield,A round wooden shield.,6,off_hand,false,shield_wooden.png,armor/shield_wooden.glb,armor,,wood,2500,1,,,,,,,,,,,,shield,,,shield,held,,,,,,,,,
raven_shield,Raven Shield,A round wooden shield painted with a black raven crest.,6,off_hand,false,shield_raven.png,armor/shield_raven.glb,armor,,wood,7000,2,,,,,,2,0.2,,,,,shield,,,shield,held,,,,,,,,,
leather_helmet,Leather Helmet,A simple leather helmet.,1,head,false,leather_helmet.png,armor/leather_helmet.glb,armor,,leather,1500,1,,,,,,1,,,,,,,,leather,body_armor,primary,helmet,,,,,,,,head
iron_helmet,Iron Helmet,A heavy iron great helm that guards the whole head.,4,head,false,iron_helmet.png,armor/iron_helmet.glb,armor,,metal,6000,2,,,,,,2,0.37,,,,,,,plate,body_armor,primary,helmet,,,,,,,,head
breastplate,Breastplate,A polished steel breastplate that turns aside all but the truest blows.,20,chest,false,plate_armor.png,armor/plate_armor.glb,armor,,metal,40000,7,,,,,,4,,,,,,plate_armor,,plate,body_armor,primary,cuirass,,120,metal,,3,3,1,torso
leather_pants,Leather Pants,Durable leather leggings.,4,pants,false,leather_pants.png,armor/leather_pants.glb,armor,,leather,2500,1,,,,,,1,0.3,,,,,,,leather,body_armor,primary,leggings,,,,,,,,legs
iron_boots,Iron Boots,Heavy iron boots.,6,boots,false,iron_boots.png,armor/iron_boots.glb,armor,,metal,6000,2,,,,,,2,0.37,,,,,,,plate,body_armor,primary,boots,,,,,,,,feet
leather_gloves,Leather Gloves,Supple leather gloves with a sure grip.,0.5,hands,false,leather_gloves.png,armor/leather_gloves.glb,armor,,leather,2000,1,,,,,,2,0.37,,,,,,,leather,body_armor,primary,gloves,,,,,,,,hands
iron_gauntlets,Iron Gauntlets,Heavy iron gauntlets that shield the hands and wrists.,2,hands,false,iron_gauntlets.png,armor/iron_gauntlets.glb,armor,,metal,6000,2,,,,,,3,0.37,,,,,,,plate,body_armor,primary,gloves,,,,,,,,hands
leather_boots,Leather Boots,Sturdy leather boots that tread softly.,3,boots,false,leather_boots.png,armor/leather_boots.glb,armor,,leather,2500,1,,,,,,2,0.37,,,,,,,leather,body_armor,primary,boots,,,,,,,,feet
plate_greaves,Plate Greaves,Articulated steel greaves that guard the legs.,8,pants,false,iron_leggings.png,armor/iron_leggings.glb,armor,,metal,12000,3,,,,,,3,0.37,,,,,,,plate,body_armor,primary,leggings,,,,,,,,legs
plate_boots,Plate Boots,Overlapping steel plates that guard the feet and shins.,7,boots,false,plate_greaves.png,armor/plate_greaves.glb,armor,,metal,9000,3,,,,,,3,0.37,,,,,,,plate,body_armor,primary,boots,,,,,,,,feet
plate_helmet,Plate Helmet,A visored steel close helm that encases the whole head.,5,head,false,plate_helmet.png,armor/plate_helmet.glb,armor,,metal,15000,3,,,,,,4,0.3,,,,,,,plate,body_armor,primary,helmet,,,,,,,,head
plate_gauntlets,Plate Gauntlets,Articulated steel gauntlets that encase the hands and wrists.,3,hands,false,plate_gauntlets.png,armor/plate_gauntlets.glb,armor,,metal,10000,3,,,,,,4,0.3,,,,,,,plate,body_armor,primary,gloves,,,,,,,,hands
